trial,H1,C1,L1_after_P1,p1_in_tokyo_after_P1,P2_mode,C2,L1_after_P2,P3_hits_P1,C3,P1_survives
1,3,1,5,False,Tokyo/clawmax,1.0,4,False,,True
2,2,0,4,False,Tokyo/clawmax,1.0,3,False,,True
3,1,1,3,False,Tokyo/clawmax,2.0,1,False,,True
4,1,0,3,False,Tokyo/clawmax,2.0,1,False,,True
5,1,3,2,False,Tokyo/clawmax,,2,False,,True
6,3,1,5,False,Tokyo/clawmax,2.0,3,False,,True
7,1,1,3,False,Tokyo/clawmax,4.0,-1,False,,False
8,3,1,5,False,Tokyo/clawmax,4.0,1,False,,True
9,3,1,5,False,Tokyo/clawmax,2.0,3,False,,True
10,1,2,3,True,Outside/heartmax,3.0,0,,,False
11,4,0,6,False,Tokyo/clawmax,2.0,4,False,,True
12,2,1,4,False,Tokyo/clawmax,2.0,2,False,,True
13,1,0,3,False,Tokyo/clawmax,2.0,1,False,,True
14,2,1,4,False,Tokyo/clawmax,3.0,1,False,,True
15,2,1,4,False,Tokyo/clawmax,4.0,0,False,,False
16,1,3,2,False,Tokyo/clawmax,,2,False,,True
17,3,0,5,False,Tokyo/clawmax,2.0,3,False,,True
18,2,1,4,False,Tokyo/clawmax,3.0,1,False,,True
19,2,0,4,False,Tokyo/clawmax,2.0,2,False,,True
20,3,2,4,True,Outside/heartmax,,4,True,2.0,True
21,3,0,5,False,Tokyo/clawmax,2.0,3,False,,True
22,3,0,5,False,Tokyo/clawmax,4.0,1,False,,True
23,2,0,4,False,Tokyo/clawmax,1.0,3,False,,True
24,3,0,5,False,Tokyo/clawmax,1.0,4,False,,True
25,0,1,2,False,Tokyo/clawmax,0.0,2,False,,True
26,2,1,4,False,Tokyo/clawmax,2.0,2,False,,True
27,4,1,6,False,Tokyo/clawmax,1.0,5,False,,True
28,4,0,6,False,Tokyo/clawmax,4.0,2,False,,True
29,4,1,6,False,Tokyo/clawmax,1.0,5,False,,True
30,3,0,5,False,Tokyo/clawmax,2.0,3,False,,True
31,2,2,3,False,Tokyo/clawmax,,3,False,,True
32,4,1,6,False,Tokyo/clawmax,3.0,3,False,,True
33,1,3,3,True,Outside/heartmax,,3,True,2.0,True
34,3,0,5,False,Tokyo/clawmax,0.0,5,False,,True
35,2,2,3,False,Tokyo/clawmax,,3,False,,True
36,3,0,5,False,Tokyo/clawmax,3.0,2,False,,True
37,5,0,7,False,Tokyo/clawmax,2.0,5,False,,True
38,0,1,2,False,Tokyo/clawmax,3.0,-1,False,,False
39,1,2,3,True,Outside/heartmax,,3,True,3.0,False
40,2,1,4,False,Tokyo/clawmax,2.0,2,False,,True
41,2,0,4,False,Tokyo/clawmax,3.0,1,False,,True
42,2,2,4,True,Outside/heartmax,,4,True,4.0,False
43,4,0,6,False,Tokyo/clawmax,2.0,4,False,,True
44,3,0,5,False,Tokyo/clawmax,3.0,2,False,,True
45,2,2,3,False,Tokyo/clawmax,,3,False,,True
46,4,0,6,False,Tokyo/clawmax,2.0,4,False,,True
47,2,0,4,False,Tokyo/clawmax,3.0,1,False,,True
48,4,0,6,False,Tokyo/clawmax,3.0,3,False,,True
49,3,0,5,False,Tokyo/clawmax,2.0,3,False,,True
50,4,1,6,False,Tokyo/clawmax,1.0,5,False,,True
51,2,1,4,False,Tokyo/clawmax,3.0,1,False,,True
52,5,0,7,False,Tokyo/clawmax,2.0,5,False,,True
53,4,1,6,False,Tokyo/clawmax,0.0,6,False,,True
54,6,0,8,False,Tokyo/clawmax,4.0,4,False,,True
55,3,1,5,False,Tokyo/clawmax,2.0,3,False,,True
56,5,0,7,False,Tokyo/clawmax,2.0,5,False,,True
57,3,2,5,True,Outside/heartmax,,5,True,2.0,True
58,2,1,4,False,Tokyo/clawmax,2.0,2,False,,True
59,4,0,6,False,Tokyo/clawmax,0.0,6,False,,True
60,2,1,4,False,Tokyo/clawmax,1.0,3,False,,True
61,4,1,6,False,Tokyo/clawmax,2.0,4,False,,True
62,1,0,3,False,Tokyo/clawmax,3.0,0,False,,False
63,1,0,3,False,Tokyo/clawmax,2.0,1,False,,True
64,2,0,4,False,Tokyo/clawmax,4.0,0,False,,False
65,2,0,4,False,Tokyo/clawmax,2.0,2,False,,True
66,2,0,4,False,Tokyo/clawmax,1.0,3,False,,True
67,5,0,7,False,Tokyo/clawmax,0.0,7,False,,True
68,4,1,6,False,Tokyo/clawmax,2.0,4,False,,True
69,4,1,6,False,Tokyo/clawmax,3.0,3,False,,True
70,2,0,4,False,Tokyo/clawmax,2.0,2,False,,True
71,5,0,7,False,Tokyo/clawmax,4.0,3,False,,True
72,2,0,4,False,Tokyo/clawmax,2.0,2,False,,True
73,4,1,6,False,Tokyo/clawmax,3.0,3,False,,True
74,4,1,6,False,Tokyo/clawmax,3.0,3,False,,True
75,1,1,3,False,Tokyo/clawmax,4.0,-1,False,,False
76,2,2,4,True,Outside/heartmax,,4,True,5.0,False
77,4,0,6,False,Tokyo/clawmax,3.0,3,False,,True
78,4,1,6,False,Tokyo/clawmax,4.0,2,False,,True
79,4,0,6,False,Tokyo/clawmax,2.0,4,False,,True
80,2,0,4,False,Tokyo/clawmax,2.0,2,False,,True
81,2,1,4,False,Tokyo/clawmax,3.0,1,False,,True
82,3,2,5,True,Outside/heartmax,,5,True,4.0,True
83,3,0,5,False,Tokyo/clawmax,2.0,3,False,,True
84,3,0,5,False,Tokyo/clawmax,0.0,5,False,,True
85,2,0,4,False,Tokyo/clawmax,3.0,1,False,,True
86,3,0,5,False,Tokyo/clawmax,2.0,3,False,,True
87,2,1,4,False,Tokyo/clawmax,4.0,0,False,,False
88,3,1,5,False,Tokyo/clawmax,0.0,5,False,,True
89,1,2,3,True,Outside/heartmax,,3,True,2.0,True
90,4,1,6,False,Tokyo/clawmax,1.0,5,False,,True
91,1,0,3,False,Tokyo/clawmax,4.0,-1,False,,False
